interval,region,focal_channel,channel,value
1,2,7,17,0.05
1,2,7,18,0.22
1,2,7,19,0.49
1,2,7,20,0.36
1,1,8,1,0.37
1,1,8,2,0.62
1,1,8,3,0.59
1,4,8,4,0.56
1,4,8,5,0.27
1,4,8,6,0.83
1,4,8,7,0.30
1,4,8,8,0.88
1,4,8,9,0.35
1,4,8,10,0.77
1,1,8,11,0.28
1,1,8,12,0.55
1,3,8,13,0.33
1,3,8,14,1.00
1,3,8,15,0.44
1,3,8,16,0.45
1,2,8,17,0.68
1,2,8,18,0.01
1,2,8,19,0.44
1,2,8,20,0.43
1,1,9,1,0.90
1,1,9,2,0.21
1,1,9,3,0.77
1,4,9,4,0.34
1,4,9,5,0.92
1,4,9,6,0.89
1,4,9,7,0.77
1,4,9,8,0.73
1,4,9,9,0.64
1,4,9,10,1.00
1,1,9,11,0.60
1,1,9,12,0.34
1,3,9,13,0.32
1,3,9,14,0.22
1,3,9,15,0.77
1,3,9,16,0.54
1,2,9,17,0.57
1,2,9,18,0.62
1,2,9,19,0.55
1,2,9,20,0.51
1,1,10,1,0.17
1,1,10,2,0.42
1,1,10,3,0.44
1,4,10,4,0.40
1,4,10,5,0.99
1,4,10,6,0.68
1,4,10,7,0.85
1,4,10,8,0.13
1,4,10,9,0.98
1,4,10,10,0.38
1,1,10,11,0.75
1,1,10,12,0.72
1,3,10,13,0.55
1,3,10,14,0.17
1,3,10,15,0.38
1,3,10,16,0.63
1,2,10,17,0.60
1,2,10,18,0.66
1,2,10,19,0.69
1,2,10,20,0.62
1,1,11,1,0.47
1,1,11,2,0.06
1,1,11,3,0.18
1,4,11,4,0.86
1,4,11,5,0.02
1,4,11,6,0.30
1,4,11,7,0.83
1,4,11,8,0.35
1,4,11,9,0.25
1,4,11,10,0.64
1,1,11,11,0.16
1,1,11,12,0.42
1,3,11,13,0.05
1,3,11,14,0.01
1,3,11,15,0.23
1,3,11,16,0.04
1,2,11,17,0.39
1,2,11,18,0.78
1,2,11,19,0.07
1,2,11,20,0.10
1,1,12,1,0.47
1,1,12,2,0.24
1,1,12,3,1.00
1,4,12,4,0.11
1,4,12,5,0.08
1,4,12,6,0.77
1,4,12,7,0.94
1,4,12,8,0.54
1,4,12,9,0.92
1,4,12,10,0.75
1,1,12,11,0.49
1,1,12,12,0.24
1,3,12,13,0.58
1,3,12,14,0.47
1,3,12,15,0.65
1,3,12,16,0.40
1,2,12,17,0.09
1,2,12,18,0.66
1,2,12,19,0.26
1,2,12,20,0.55
1,1,13,1,0.90
1,1,13,2,0.87
1,1,13,3,0.92
1,4,13,4,0.46
1,4,13,5,0.31
1,4,13,6,0.52
1,4,13,7,0.77
1,4,13,8,0.92
1,4,13,9,0.86
1,4,13,10,0.78
1,1,13,11,0.26
1,1,13,12,0.89
1,3,13,13,0.57
1,3,13,14,0.91
1,3,13,15,0.09
1,3,13,16,0.59
1,2,13,17,0.63
1,2,13,18,0.67
1,2,13,19,0.46
1,2,13,20,0.54
1,1,14,1,0.06
1,1,14,2,0.04
1,1,14,3,0.27
1,4,14,4,0.09
1,4,14,5,0.45
1,4,14,6,0.43
1,4,14,7,0.30
1,4,14,8,0.54
1,4,14,9,0.19
1,4,14,10,0.53
1,1,14,11,0.13
1,1,14,12,0.51
1,3,14,13,0.41
1,3,14,14,0.24
1,3,14,15,0.01
1,3,14,16,0.18
1,2,14,17,0.58
1,2,14,18,0.95
1,2,14,19,0.97
1,2,14,20,0.73
1,1,15,1,0.83
1,1,15,2,0.65
1,1,15,3,0.65
1,4,15,4,0.24
1,4,15,5,0.90
1,4,15,6,0.93
1,4,15,7,0.77
1,4,15,8,0.99
1,4,15,9,0.63
1,4,15,10,0.42
1,1,15,11,0.45
1,1,15,12,0.80
1,3,15,13,0.18
1,3,15,14,0.22
1,3,15,15,0.70
1,3,15,16,0.78
1,2,15,17,0.77
1,2,15,18,0.85
1,2,15,19,0.07
1,2,15,20,0.51
1,1,16,1,0.90
1,1,16,2,0.02
1,1,16,3,0.50
1,4,16,4,0.10
1,4,16,5,0.51
1,4,16,6,0.92
1,4,16,7,0.70
1,4,16,8,0.70
1,4,16,9,0.46
1,4,16,10,0.40
1,1,16,11,0.16
1,1,16,12,0.67
1,3,16,13,0.83
1,3,16,14,0.55
1,3,16,15,0.83
1,3,16,16,0.00
1,2,16,17,0.56
1,2,16,18,0.39
1,2,16,19,0.00
1,2,16,20,0.56
1,1,17,1,0.23
1,1,17,2,0.98
1,1,17,3,0.71
1,4,17,4,0.12
1,4,17,5,0.34
1,4,17,6,0.81
1,4,17,7,0.46
1,4,17,8,0.26
1,4,17,9,0.48
1,4,17,10,0.10
1,1,17,11,0.79
1,1,17,12,0.92
1,3,17,13,0.75
1,3,17,14,0.47
1,3,17,15,0.67
1,3,17,16,0.03
1,2,17,17,0.10
1,2,17,18,0.40
1,2,17,19,0.12
1,2,17,20,0.83
1,1,18,1,0.93
1,1,18,2,0.58
1,1,18,3,0.24
1,4,18,4,0.80
1,4,18,5,0.33
1,4,18,6,0.60
1,4,18,7,0.71
1,4,18,8,0.16
1,4,18,9,0.79
1,4,18,10,0.58
1,1,18,11,0.63
1,1,18,12,0.86
1,3,18,13,0.46
1,3,18,14,0.66
1,3,18,15,0.50
1,3,18,16,0.98
1,2,18,17,0.59
1,2,18,18,0.55
1,2,18,19,0.02
1,2,18,20,0.39
1,1,19,1,0.27
1,1,19,2,0.20
1,1,19,3,0.11
1,4,19,4,0.93
1,4,19,5,0.65
1,4,19,6,0.90
1,4,19,7,0.23
1,4,19,8,0.96
1,4,19,9,0.67
1,4,19,10,0.91
1,1,19,11,0.51
1,1,19,12,0.36
1,3,19,13,0.68
1,3,19,14,0.02
1,3,19,15,0.22
1,3,19,16,0.43
1,2,19,17,0.15
1,2,19,18,0.08
1,2,19,19,0.26
1,2,19,20,0.31
1,1,20,1,0.86
1,1,20,2,0.63
1,1,20,3,0.24
1,4,20,4,0.97
1,4,20,5,0.96
1,4,20,6,0.72
1,4,20,7,0.69
1,4,20,8,0.44
1,4,20,9,0.75
1,4,20,10,0.75
1,1,20,11,0.45
1,1,20,12,0.35
1,3,20,13,0.60
1,3,20,14,0.94
1,3,20,15,0.29
1,3,20,16,0.54
1,2,20,17,0.42
1,2,20,18,0.48
1,2,20,19,0.19
1,2,20,20,0.33
2,1,1,1,0.25
2,1,1,2,0.03
2,1,1,3,0.20
2,4,1,4,0.42
2,4,1,5,0.55
2,4,1,6,0.94
2,4,1,7,0.11
2,4,1,8,0.41
2,4,1,9,0.28
2,4,1,10,0.20
2,1,1,11,0.92
2,1,1,12,0.77
2,3,1,13,1.00
2,3,1,14,0.45
2,3,1,15,0.91
2,3,1,16,0.09
2,2,1,17,0.73
2,2,1,18,0.91
2,2,1,19,0.88
2,2,1,20,0.25
2,1,2,1,0.65
2,1,2,2,0.21
2,1,2,3,0.21
2,4,2,4,0.02
2,4,2,5,0.75
2,4,2,6,0.53
2,4,2,7,0.42
2,4,2,8,0.07
2,4,2,9,0.17
2,4,2,10,1.00
2,1,2,11,0.24
2,1,2,12,0.79
2,3,2,13,0.89
2,3,2,14,0.88
2,3,2,15,0.57
2,3,2,16,0.40
2,2,2,17,0.60
2,2,2,18,0.09
2,2,2,19,0.64
2,2,2,20,0.74
2,1,3,1,0.47
2,1,3,2,0.36
2,1,3,3,0.80
2,4,3,4,0.55
2,4,3,5,0.19
2,4,3,6,0.21
2,4,3,7,0.08
2,4,3,8,0.58
2,4,3,9,0.47
2,4,3,10,0.98
2,1,3,11,0.22
2,1,3,12,0.53
2,3,3,13,1.00
2,3,3,14,0.30
2,3,3,15,0.66
2,3,3,16,0.22
2,2,3,17,0.13
2,2,3,18,0.22
2,2,3,19,0.14
2,2,3,20,0.75
2,1,4,1,0.66
2,1,4,2,0.49
2,1,4,3,0.16
2,4,4,4,0.24
2,4,4,5,0.63
2,4,4,6,0.37
2,4,4,7,0.15
2,4,4,8,0.31
2,4,4,9,0.19
2,4,4,10,0.57
2,1,4,11,0.88
2,1,4,12,0.44
2,3,4,13,0.92
2,3,4,14,0.81
2,3,4,15,0.51
2,3,4,16,0.93
2,2,4,17,0.47
2,2,4,18,0.67
2,2,4,19,0.56
2,2,4,20,0.43
2,1,5,1,0.59
2,1,5,2,0.79
2,1,5,3,0.48
2,4,5,4,0.20
2,4,5,5,0.24
2,4,5,6,0.62
2,4,5,7,0.25
2,4,5,8,0.20
2,4,5,9,0.84
2,4,5,10,0.17
2,1,5,11,0.75
2,1,5,12,0.65
2,3,5,13,0.59
2,3,5,14,0.71
2,3,5,15,0.87
2,3,5,16,0.91
2,2,5,17,0.42
2,2,5,18,0.37
2,2,5,19,0.91
2,2,5,20,0.14
2,1,6,1,0.14
2,1,6,2,0.49
2,1,6,3,0.69
2,4,6,4,0.13
2,4,6,5,0.21
2,4,6,6,0.60
2,4,6,7,0.72
2,4,6,8,0.09
2,4,6,9,0.27
2,4,6,10,0.94
2,1,6,11,0.13
2,1,6,12,0.85
2,3,6,13,0.55
2,3,6,14,0.40
2,3,6,15,0.18
2,3,6,16,0.55
2,2,6,17,0.85
2,2,6,18,0.81
2,2,6,19,0.02
2,2,6,20,0.34
2,1,7,1,0.34
2,1,7,2,0.04
2,1,7,3,0.03
2,4,7,4,0.70
2,4,7,5,0.32
2,4,7,6,0.50
2,4,7,7,0.98
2,4,7,8,0.76
2,4,7,9,0.78
2,4,7,10,0.45
2,1,7,11,0.65
2,1,7,12,0.78
2,3,7,13,0.78
2,3,7,14,0.72
2,3,7,15,0.38
2,3,7,16,0.78
2,2,7,17,0.20
2,2,7,18,0.99
2,2,7,19,0.94
2,2,7,20,0.06
2,1,8,1,0.44
2,1,8,2,0.56
2,1,8,3,0.01
2,4,8,4,0.25
2,4,8,5,0.97
2,4,8,6,0.26
2,4,8,7,1.00
2,4,8,8,0.97
2,4,8,9,0.26
2,4,8,10,0.02
2,1,8,11,0.19
2,1,8,12,0.29
2,3,8,13,0.84
2,3,8,14,0.80
2,3,8,15,0.53
2,3,8,16,0.86
2,2,8,17,0.19
2,2,8,18,0.20
2,2,8,19,0.50
2,2,8,20,0.59
2,1,9,1,0.29
2,1,9,2,0.51
2,1,9,3,0.86
2,4,9,4,0.85
2,4,9,5,0.80
2,4,9,6,0.77
2,4,9,7,0.43
2,4,9,8,0.83
2,4,9,9,0.29
2,4,9,10,0.81
2,1,9,11,0.75
2,1,9,12,0.10
2,3,9,13,0.24
2,3,9,14,0.91
2,3,9,15,0.31
2,3,9,16,0.39
2,2,9,17,0.92
2,2,9,18,0.40
2,2,9,19,0.08
2,2,9,20,0.31
2,1,10,1,0.58
2,1,10,2,0.39
2,1,10,3,0.65
2,4,10,4,0.07
2,4,10,5,0.70
2,4,10,6,0.64
2,4,10,7,0.81
2,4,10,8,0.90
2,4,10,9,0.37
2,4,10,10,0.30
2,1,10,11,0.26
2,1,10,12,0.77
2,3,10,13,0.41
2,3,10,14,0.85
2,3,10,15,0.58
2,3,10,16,0.02
2,2,10,17,0.70
2,2,10,18,0.66
2,2,10,19,0.37
2,2,10,20,0.30
2,1,11,1,0.81
2,1,11,2,0.26
2,1,11,3,0.86
2,4,11,4,0.84
2,4,11,5,0.79
2,4,11,6,0.56
2,4,11,7,0.28
2,4,11,8,0.06
2,4,11,9,0.92
2,4,11,10,0.14
2,1,11,11,0.17
2,1,11,12,0.71
2,3,11,13,0.32
2,3,11,14,0.69
2,3,11,15,0.94
2,3,11,16,0.86
2,2,11,17,0.30
2,2,11,18,0.24
2,2,11,19,0.32
2,2,11,20,0.80
2,1,12,1,0.74
2,1,12,2,0.40
2,1,12,3,0.23
2,4,12,4,0.45
2,4,12,5,0.29
2,4,12,6,0.67
2,4,12,7,0.69
2,4,12,8,0.60
2,4,12,9,0.32
2,4,12,10,0.30
2,1,12,11,0.43
2,1,12,12,0.33
2,3,12,13,0.08
2,3,12,14,0.41
2,3,12,15,0.87
2,3,12,16,0.18
2,2,12,17,0.99
2,2,12,18,0.34
2,2,12,19,0.02
2,2,12,20,0.44
2,1,13,1,0.27
2,1,13,2,0.78
2,1,13,3,0.97
2,4,13,4,0.69
2,4,13,5,0.01
2,4,13,6,0.99
2,4,13,7,0.99
2,4,13,8,0.89
2,4,13,9,0.66
2,4,13,10,0.96
2,1,13,11,0.78
2,1,13,12,0.82
2,3,13,13,0.16
2,3,13,14,0.50
2,3,13,15,0.37
2,3,13,16,0.90
2,2,13,17,0.17
2,2,13,18,0.51
2,2,13,19,0.92
2,2,13,20,0.98
2,1,14,1,0.58
2,1,14,2,0.71
2,1,14,3,0.33
2,4,14,4,0.44
2,4,14,5,0.71
2,4,14,6,0.87
2,4,14,7,0.23
2,4,14,8,0.25
2,4,14,9,0.39
2,4,14,10,0.01
2,1,14,11,0.18
2,1,14,12,0.32
2,3,14,13,0.37
2,3,14,14,0.66
2,3,14,15,0.35
2,3,14,16,0.39
2,2,14,17,0.37
2,2,14,18,0.57
2,2,14,19,0.39
2,2,14,20,0.56
2,1,15,1,0.21
2,1,15,2,0.25
2,1,15,3,0.73
2,4,15,4,0.72
2,4,15,5,0.71
2,4,15,6,0.93
2,4,15,7,1.00
2,4,15,8,0.92
2,4,15,9,0.91
2,4,15,10,0.63
2,1,15,11,0.82
2,1,15,12,0.49
2,3,15,13,0.91
2,3,15,14,0.19
2,3,15,15,0.97
2,3,15,16,0.46
2,2,15,17,0.05
2,2,15,18,0.37
2,2,15,19,0.24
2,2,15,20,0.20
2,1,16,1,0.31
2,1,16,2,0.36
2,1,16,3,0.55
2,4,16,4,0.88
2,4,16,5,0.68
2,4,16,6,0.24
2,4,16,7,0.40
2,4,16,8,0.43
2,4,16,9,0.08
2,4,16,10,0.21
2,1,16,11,0.20
2,1,16,12,0.78
2,3,16,13,0.80
2,3,16,14,0.11
2,3,16,15,0.92
2,3,16,16,0.86
2,2,16,17,0.32
2,2,16,18,0.45
2,2,16,19,0.58
2,2,16,20,0.15
2,1,17,1,0.91
2,1,17,2,0.12
2,1,17,3,0.62
2,4,17,4,0.89
2,4,17,5,0.43
2,4,17,6,0.50
2,4,17,7,0.60
2,4,17,8,0.52
2,4,17,9,0.83
2,4,17,10,0.07
2,1,17,11,0.88
2,1,17,12,0.49
2,3,17,13,0.60
2,3,17,14,0.63
2,3,17,15,0.97
2,3,17,16,0.65
2,2,17,17,0.61
2,2,17,18,0.72
2,2,17,19,0.23
2,2,17,20,0.60
2,1,18,1,0.52
2,1,18,2,0.56
2,1,18,3,0.49
2,4,18,4,0.78
2,4,18,5,0.09
2,4,18,6,0.03
2,4,18,7,0.05
2,4,18,8,0.52
2,4,18,9,0.24
2,4,18,10,0.12
2,1,18,11,0.54
2,1,18,12,0.07
2,3,18,13,0.27
2,3,18,14,0.25
2,3,18,15,0.79
2,3,18,16,0.20
2,2,18,17,0.57
2,2,18,18,0.90
2,2,18,19,0.17
2,2,18,20,0.62
2,1,19,1,0.72
2,1,19,2,0.39
2,1,19,3,0.80
2,4,19,4,0.22
2,4,19,5,0.80
2,4,19,6,0.33
2,4,19,7,0.01
2,4,19,8,0.20
2,4,19,9,0.02
2,4,19,10,0.96
2,1,19,11,0.57
2,1,19,12,0.86
2,3,19,13,0.08
2,3,19,14,0.91
2,3,19,15,0.57
2,3,19,16,0.57
2,2,19,17,0.81
2,2,19,18,0.42
2,2,19,19,0.93
2,2,19,20,0.72
2,1,20,1,0.73
2,1,20,2,0.19
2,1,20,3,0.87
2,4,20,4,0.79
2,4,20,5,0.79
2,4,20,6,0.43
2,4,20,7,0.04
2,4,20,8,0.09
2,4,20,9,0.50
2,4,20,10,0.77
2,1,20,11,0.11
2,1,20,12,0.32
2,3,20,13,1.00
2,3,20,14,0.09
2,3,20,15,0.80
2,3,20,16,0.76
2,2,20,17,0.67
2,2,20,18,0.57
2,2,20,19,0.52
2,2,20,20,0.44
3,1,1,1,0.17
3,1,1,2,0.62
3,1,1,3,0.74
3,4,1,4,0.49
3,4,1,5,0.84
3,4,1,6,0.88
3,4,1,7,0.48
3,4,1,8,0.13
3,4,1,9,0.87
3,4,1,10,0.08
3,1,1,11,0.79
3,1,1,12,0.67
3,3,1,13,0.67
3,3,1,14,0.55
3,3,1,15,0.08
3,3,1,16,0.85
3,2,1,17,0.25
3,2,1,18,0.09
3,2,1,19,0.09
3,2,1,20,0.48
3,1,2,1,0.25
3,1,2,2,0.07
3,1,2,3,0.13
3,4,2,4,0.54
3,4,2,5,0.59
3,4,2,6,0.39
3,4,2,7,0.99
3,4,2,8,0.32
3,4,2,9,0.13
3,4,2,10,0.97
3,1,2,11,0.50
3,1,2,12,0.46
3,3,2,13,0.91
3,3,2,14,0.60
3,3,2,15,0.16
3,3,2,16,0.60
3,2,2,17,0.29
3,2,2,18,0.89
3,2,2,19,0.81
3,2,2,20,0.36
3,1,3,1,0.11
3,1,3,2,0.94
3,1,3,3,0.24
3,4,3,4,0.17
3,4,3,5,0.86
3,4,3,6,0.15
3,4,3,7,0.43
3,4,3,8,0.01
3,4,3,9,0.08
3,4,3,10,0.84
3,1,3,11,0.68
3,1,3,12,0.76
3,3,3,13,0.88
3,3,3,14,0.16
3,3,3,15,0.31
3,3,3,16,0.99
3,2,3,17,0.04
3,2,3,18,0.43
3,2,3,19,0.64
3,2,3,20,0.19
3,1,4,1,0.89
3,1,4,2,0.81
3,1,4,3,0.50
3,4,4,4,0.31
3,4,4,5,0.88
3,4,4,6,0.28
3,4,4,7,0.48
3,4,4,8,0.94
3,4,4,9,0.53
3,4,4,10,0.15
3,1,4,11,0.84
3,1,4,12,0.68
3,3,4,13,0.43
3,3,4,14,0.42
3,3,4,15,0.98
3,3,4,16,0.19
3,2,4,17,0.52
3,2,4,18,0.51
3,2,4,19,0.42
3,2,4,20,0.24
3,1,5,1,0.72
3,1,5,2,0.54
3,1,5,3,0.83
3,4,5,4,0.88
3,4,5,5,0.03
3,4,5,6,0.21
3,4,5,7,0.40
3,4,5,8,0.05
3,4,5,9,0.11
3,4,5,10,0.49
3,1,5,11,0.40
3,1,5,12,0.63
3,3,5,13,0.75
3,3,5,14,0.02
3,3,5,15,0.82
3,3,5,16,0.34
3,2,5,17,0.79
3,2,5,18,1.00
3,2,5,19,0.61
3,2,5,20,0.79
3,1,6,1,0.43
3,1,6,2,0.60
3,1,6,3,0.14
3,4,6,4,0.11
3,4,6,5,0.75
3,4,6,6,0.19
3,4,6,7,0.60
3,4,6,8,0.04
3,4,6,9,0.38
3,4,6,10,0.15
3,1,6,11,0.46
3,1,6,12,0.21
3,3,6,13,0.99
3,3,6,14,0.80
3,3,6,15,0.58
3,3,6,16,0.52
3,2,6,17,0.48
3,2,6,18,0.38
3,2,6,19,1.00
3,2,6,20,0.58
3,1,7,1,0.81
3,1,7,2,0.40
3,1,7,3,0.72
3,4,7,4,0.15
3,4,7,5,0.96
3,4,7,6,0.74
3,4,7,7,0.58
3,4,7,8,0.08
3,4,7,9,0.72
3,4,7,10,0.65
3,1,7,11,0.57
3,1,7,12,0.84
3,3,7,13,0.30
3,3,7,14,0.52
3,3,7,15,0.63
3,3,7,16,0.67
3,2,7,17,0.97
3,2,7,18,1.00
3,2,7,19,0.16
3,2,7,20,0.92
3,1,8,1,0.88
3,1,8,2,0.95
3,1,8,3,0.78
3,4,8,4,0.56
3,4,8,5,0.12
3,4,8,6,0.57
3,4,8,7,0.22
3,4,8,8,0.82
3,4,8,9,0.54
3,4,8,10,0.93
3,1,8,11,0.18
3,1,8,12,0.02
3,3,8,13,0.49
3,3,8,14,0.37
3,3,8,15,0.04
3,3,8,16,0.62
3,2,8,17,0.90
3,2,8,18,0.48
3,2,8,19,0.85
3,2,8,20,0.59
3,1,9,1,0.82
3,1,9,2,0.19
3,1,9,3,0.74
3,4,9,4,0.65
3,4,9,5,0.50
3,4,9,6,0.88
3,4,9,7,0.92
3,4,9,8,0.25
3,4,9,9,0.51
3,4,9,10,0.13
3,1,9,11,0.68
3,1,9,12,0.62
3,3,9,13,0.54
3,3,9,14,0.36
3,3,9,15,0.84
3,3,9,16,0.61
3,2,9,17,0.05
3,2,9,18,0.43
3,2,9,19,0.77
3,2,9,20,0.41
3,1,10,1,0.84
3,1,10,2,0.94
3,1,10,3,0.03
3,4,10,4,0.22
3,4,10,5,0.82
3,4,10,6,0.17
3,4,10,7,0.65
3,4,10,8,0.79
3,4,10,9,0.11
3,4,10,10,0.43
3,1,10,11,0.52
3,1,10,12,0.30
3,3,10,13,0.83
3,3,10,14,0.19
3,3,10,15,0.16
3,3,10,16,0.00
3,2,10,17,0.94
3,2,10,18,0.06
3,2,10,19,0.87
3,2,10,20,0.83
3,1,11,1,0.11
3,1,11,2,0.20
3,1,11,3,0.73
3,4,11,4,0.68
3,4,11,5,0.74
3,4,11,6,0.08
3,4,11,7,0.87
3,4,11,8,0.46
3,4,11,9,0.41
3,4,11,10,0.41
3,1,11,11,1.00
3,1,11,12,0.22
3,3,11,13,0.31
3,3,11,14,0.96
3,3,11,15,0.35
3,3,11,16,0.05
3,2,11,17,0.97
3,2,11,18,0.18
3,2,11,19,0.39
3,2,11,20,0.76
3,1,12,1,1.00
3,1,12,2,0.27
3,1,12,3,0.90
3,4,12,4,0.40
3,4,12,5,0.94
3,4,12,6,0.69
3,4,12,7,0.95
3,4,12,8,0.71
3,4,12,9,0.59
3,4,12,10,0.90
3,1,12,11,0.18
3,1,12,12,0.68
3,3,12,13,0.81
3,3,12,14,0.98
3,3,12,15,0.55
3,3,12,16,0.27
3,2,12,17,0.96
3,2,12,18,0.52
3,2,12,19,0.89
3,2,12,20,0.55
3,1,13,1,0.65
3,1,13,2,0.72
3,1,13,3,0.83
3,4,13,4,0.48
3,4,13,5,0.50
3,4,13,6,0.05
3,4,13,7,0.83
3,4,13,8,0.59
3,4,13,9,0.36
3,4,13,10,0.52
3,1,13,11,0.37
3,1,13,12,0.91
3,3,13,13,0.20
3,3,13,14,0.42
3,3,13,15,0.35
3,3,13,16,0.42
3,2,13,17,0.28
3,2,13,18,0.28
3,2,13,19,0.78
3,2,13,20,0.31
3,1,14,1,0.82
3,1,14,2,0.45
3,1,14,3,0.14
3,4,14,4,0.12
3,4,14,5,0.56
3,4,14,6,0.75
3,4,14,7,0.63
3,4,14,8,0.10
3,4,14,9,0.52
3,4,14,10,0.61
3,1,14,11,0.24
3,1,14,12,0.64
3,3,14,13,0.09
3,3,14,14,0.31
3,3,14,15,0.30
3,3,14,16,0.68
3,2,14,17,0.89
3,2,14,18,0.24
3,2,14,19,0.14
3,2,14,20,0.88
3,1,15,1,0.09
3,1,15,2,0.51
3,1,15,3,0.77
3,4,15,4,0.68
3,4,15,5,0.16
3,4,15,6,0.94
3,4,15,7,0.54
3,4,15,8,0.58
3,4,15,9,0.33
3,4,15,10,0.89
3,1,15,11,0.21
3,1,15,12,0.68
3,3,15,13,0.47
3,3,15,14,0.39
3,3,15,15,0.29
3,3,15,16,0.76
3,2,15,17,0.89
3,2,15,18,0.58
3,2,15,19,0.85
3,2,15,20,0.05
3,1,16,1,0.90
3,1,16,2,0.56
3,1,16,3,0.89
3,4,16,4,0.45
3,4,16,5,0.14
3,4,16,6,0.94
3,4,16,7,0.41
3,4,16,8,0.98
3,4,16,9,0.92
3,4,16,10,0.64
3,1,16,11,0.50
3,1,16,12,0.55
3,3,16,13,0.84
3,3,16,14,0.80
3,3,16,15,0.23
3,3,16,16,0.32
3,2,16,17,0.34
3,2,16,18,0.10
3,2,16,19,0.77
3,2,16,20,0.91
3,1,17,1,0.16
3,1,17,2,0.34
3,1,17,3,0.61
3,4,17,4,0.38
3,4,17,5,0.41
3,4,17,6,0.23
3,4,17,7,0.56
3,4,17,8,0.74
3,4,17,9,0.83
3,4,17,10,0.94
3,1,17,11,0.50
3,1,17,12,0.54
3,3,17,13,0.33
3,3,17,14,0.97
3,3,17,15,0.11
3,3,17,16,0.63
3,2,17,17,0.45
3,2,17,18,0.84
3,2,17,19,0.08
3,2,17,20,0.82
3,1,18,1,0.27
3,1,18,2,0.44
3,1,18,3,0.09
3,4,18,4,0.41
3,4,18,5,0.41
3,4,18,6,0.99
3,4,18,7,0.56
3,4,18,8,0.04
3,4,18,9,0.62
3,4,18,10,0.00
3,1,18,11,0.66
3,1,18,12,0.28
3,3,18,13,0.89
3,3,18,14,0.20
3,3,18,15,0.98
3,3,18,16,0.31
3,2,18,17,0.22
3,2,18,18,0.31
3,2,18,19,0.93
3,2,18,20,0.76
3,1,19,1,0.73
3,1,19,2,0.08
3,1,19,3,0.62
3,4,19,4,0.35
